,Player,home,,week,dk_salary,total,dk_points,lag_one,lag_two,lag_three,PREDICTION
1166,Alex Smith,h,1,7,5100,41.5,14.54,16.28,13.34,20.94,19.2251129
1167,Andrew Luck,h,1,7,7600,53,29.02,30.98,18.5,12.4,22.6017739
1168,Blake Bortles,h,1,7,5400,41.5,13.98,28.94,32.22,19.02,18.1960917
1169,Brian Hoyer,a,0,7,5300,45.5,21.92,24.22,23.88,17.28,20.4874155
1170,Cam Newton,h,1,7,6600,46,16.88,21.76,17.06,32.9,21.33934644
1171,Carson Palmer,h,1,7,6700,49.5,19.2,21.74,18.34,19.98,21.53230734
1172,Colin Kaepernick,h,1,7,5000,42,4.96,25.6,20.78,11.1,18.84374012
1173,Derek Carr,a,0,7,5300,48.5,23.86,11.86,14.84,23.46,22.11009812
1174,Drew Brees,a,0,7,7000,53,12.8,19.68,21.3,25.36,23.04059566
1175,EJ Manuel,a,0,7,5100,41.5,20.72,21.72,-0.2,,19.2804627
1176,Eli Manning,h,1,7,6800,44.5,6.4,10.76,32.74,19.28,16.36591924
1177,Jameis Winston,a,0,7,5100,41.5,20.38,15.26,16.68,13.44,18.17658446
1178,Joe Flacco,a,0,7,5700,49.5,15.08,22.72,24.6,9.56,21.04190506
1179,Johnny Manziel,a,0,7,5000,44,1.58,14.98,11.78,,18.62791202
1180,Josh McCown,a,0,7,5200,44,10.9,14.72,38.48,26.24,18.23828396
1181,Kirk Cousins,h,1,7,5000,41.5,34.18,9.94,10.86,21.7,18.96708694
1186,Matt Ryan,a,0,7,7200,45.5,11.74,19.8,9.16,14.14,19.45330948
1187,Matthew Stafford,h,1,7,5700,45,18.74,37.9,8.72,8.12,21.8693818
1188,Nick Foles,h,1,7,5100,44,6.32,5.84,18.74,7.88,17.49391334
1189,Philip Rivers,h,1,7,6500,48.5,30.44,31.12,24.6,29.22,22.49686732
1190,Russell Wilson,a,0,7,6500,42,13.4,18.94,13.62,17.48,18.21406086
1191,Ryan Fitzpatrick,a,0,7,5200,47.5,21.7,26.22,15.12,17.62,22.6647134
1192,Ryan Tannehill,h,1,7,5700,45.5,27.58,18.04,14.32,18.78,20.45214096
1193,Sam Bradford,a,0,7,6100,46,7.8,12.4,22.62,24.2,19.52315578
1194,Teddy Bridgewater,a,0,7,5100,45,22.74,11.46,16.06,3.74,18.56261768
1195,Tom Brady,h,1,7,8500,47.5,32.7,26.48,25.3,25.72,19.27279612
